time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
17596.0,17596,308768.1196265613,306952.92026656127,306968.1196265604,1,1,308752.92026656127,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77425563889.78862,119886372960.98042,42460809071.19054,256968.11962656042,336.57298372411077
17597.0,17597,308783.3189865613,306968.1196265613,306983.31898656045,1,1,308768.1196265613,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77431118836.96918,119891927908.16098,42460809071.19054,256983.31898656045,336.5824281920293
17598.0,17598,308798.51834656135,306983.3189865613,306998.5183465605,1,1,308783.3189865613,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77436673784.14973,119897482855.34154,42460809071.19054,256998.51834656048,336.59187265994785
17599.0,17599,308813.7177065614,306998.51834656135,307013.7177065605,1,1,308798.51834656135,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77442228731.33029,119903037802.5221,42460809071.19054,257013.7177065605,336.6013171278664
17600.0,17600,308828.9170665614,307013.7177065614,307028.91706656053,1,1,308813.7177065614,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77447783678.51085,119908592749.70265,42460809071.19054,257028.91706656053,336.610761595785
17601.0,17601,308844.11642656144,307028.9170665614,307044.11642656056,1,1,308828.9170665614,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77453338625.6914,119914147696.88321,42460809071.19054,257044.11642656056,336.6202060637035
17602.0,17602,308859.31578656146,307044.11642656144,307059.3157865606,1,1,308844.11642656144,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77458893572.87196,119919702644.06377,42460809071.19054,257059.3157865606,336.629650531622
17603.0,17603,308874.5151465615,307059.31578656146,307074.5151465606,1,1,308859.31578656146,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77464448520.05252,119925257591.24432,42460809071.19054,257074.51514656062,336.6390949995406
17604.0,17604,308889.7145065615,307074.5151465615,307089.71450656065,1,1,308874.5151465615,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77470003467.23308,119930812538.42488,42460809071.19054,257089.71450656065,336.64853946745916
17605.0,17605,308904.91386656155,307089.7145065615,307104.9138665607,1,1,308889.7145065615,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77475558414.41364,119936367485.60544,42460809071.19054,257104.91386656067,336.6579839353777
17606.0,17606,308920.1132265616,307104.91386656155,307120.1132265607,1,1,308904.91386656155,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77481113361.5942,119941922432.786,42460809071.19054,257120.1132265607,336.6674284032962
17607.0,17607,308935.3125865616,307120.1132265616,307135.3125865607,1,1,308920.1132265616,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77486668308.77475,119947477379.96655,42460809071.19054,257135.31258656073,336.67687287121475
17608.0,17608,308950.51194656163,307135.3125865616,307150.51194656076,1,1,308935.3125865616,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77492223255.9553,119953032327.14711,42460809071.19054,257150.51194656076,336.6863173391333
17609.0,17609,308965.71130656166,307150.51194656163,307165.7113065608,1,1,308950.51194656163,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77497778203.13586,119958587274.32767,42460809071.19054,257165.71130656078,336.69576180705184
17610.0,17610,308980.9106665617,307165.71130656166,307180.9106665608,1,1,308965.71130656166,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77503333150.31642,119964142221.50822,42460809071.19054,257180.9106665608,336.70520627497035
17611.0,17611,308996.1100265617,307180.9106665617,307196.11002656084,1,1,308980.9106665617,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77508888097.49698,119969697168.68878,42460809071.19054,257196.11002656084,336.7146507428889
17612.0,17612,309011.30938656174,307196.1100265617,307211.30938656087,1,1,308996.1100265617,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77514443044.67754,119975252115.86934,42460809071.19054,257211.30938656087,336.7240952108075
17613.0,17613,309026.50874656177,307211.30938656174,307226.5087465609,1,1,309011.30938656174,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77519997991.8581,119980807063.0499,42460809071.19054,257226.5087465609,336.733539678726
17614.0,17614,309041.7081065618,307226.50874656177,307241.7081065609,1,1,309026.50874656177,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77525552939.03865,119986362010.23045,42460809071.19054,257241.70810656092,336.7429841466445
17615.0,17615,309056.9074665618,307241.7081065618,307256.90746656095,1,1,309041.7081065618,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77531107886.21921,119991916957.41101,42460809071.19054,257256.90746656095,336.7524286145631
17616.0,17616,309072.10682656185,307256.9074665618,307272.106826561,1,1,309056.9074665618,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77536662833.39977,119997471904.59157,42460809071.19054,257272.10682656098,336.76187308248166
17617.0,17617,309087.3061865619,307272.10682656185,307287.306186561,1,1,309072.10682656185,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77542217780.58032,120003026851.77213,42460809071.19054,257287.306186561,336.77131755040017
17618.0,17618,309102.5055465619,307287.3061865619,307302.50554656103,1,1,309087.3061865619,15.19936,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,205290.66997445127,115662.16821274933,0.0,0.0,0.0,0.0,-2.013944566670034e-13,-2.013944566670034e-13,5554947.180552362,0.0,5554947.180552362,77547772727.76088,120008581798.95268,42460809071.19054,257302.50554656103,336.7807620183187
