ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg,curve_radius_m,road_grade_pct,speed_kph,cumulative_distance_m,elevation_m
2022-12-28,HENDERSON,00H,SG,250.39924242424243,250.40227272727273,15.999999999985448,4.876799999995565,-0.61,41,-4.1,1397.458536585366,-0.61,65.98294,35.66159999996757,-0.18778727999982922
2022-12-28,HENDERSON,00H,SG,250.38181818181815,250.38541666666663,18.99999999998272,5.791199999994733,-0.61,41,-4.0,1432.395,-0.61,65.98294,41.4527999999623,-0.21753575999980215
2022-12-28,HENDERSON,00H,SG,250.38560606060605,250.39204545454547,34.000000000119144,10.363200000036317,-0.61,41,-4.0,1432.395,-0.61,65.98294,51.81599999999862,-0.25286207999977
2022-12-28,HENDERSON,00H,SG,250.40227272727273,250.41003787878788,40.99999999996271,12.496799999988635,-0.61,41,-4.0,1432.395,-0.61,65.98294,64.31279999998725,-0.3160775999999915
2022-12-28,HENDERSON,00H,SG,250.37007575757576,250.38030303030305,53.99999999995089,16.45919999998503,-0.61,41,-4.0,1432.395,-0.61,65.98294,80.77199999997228,-0.3923080799999222
2022-12-28,HENDERSON,00H,SG,250.6193181818182,250.6195075757576,0.9999999999990904,0.3047999999997227,-0.6,42,0.0,1000000.0,-0.6,67.59228,81.076799999972,-0.49270919999983087
2022-12-28,HENDERSON,00H,SG,249.53920454545457,249.53939393939393,0.9999999999990904,0.3047999999997227,-0.6,41,-0.8,7161.974999999999,-0.6,65.98294,81.38159999997171,-0.4945379999998292
2022-12-28,HENDERSON,00H,SG,249.7839015151515,249.7840909090909,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,81.68639999997143,-0.4963667999998276
2022-12-28,HENDERSON,00H,SG,250.91685606060605,250.91704545454544,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,81.99119999997114,-0.49819559999982593
2022-12-28,HENDERSON,00H,SG,251.57954545454547,251.5797348484849,0.9999999999990904,0.3047999999997227,-0.6,43,0.0,1000000.0,-0.6,69.20162,82.29599999997086,-0.5000243999998243
2022-12-28,HENDERSON,00H,SG,250.84261363636364,250.84280303030303,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,82.60079999997058,-0.5018531999998226
2022-12-28,HENDERSON,00H,SG,250.8768939393939,250.87708333333333,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,82.90559999997029,-0.5036819999998209
2022-12-28,HENDERSON,00H,SG,250.66003787878788,250.66022727272727,0.9999999999990904,0.3047999999997227,-0.6,42,0.0,1000000.0,-0.6,67.59228,83.21039999997001,-0.5055107999998192
2022-12-28,HENDERSON,00H,SG,250.64318181818183,250.6433712121212,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,83.51519999996972,-0.5073395999998175
2022-12-28,HENDERSON,00H,SG,249.5606060606061,249.56079545454543,0.9999999999990904,0.3047999999997227,-0.6,41,-0.1,57295.799999999996,-0.6,65.98294,83.81999999996944,-0.5091683999998158
2022-12-28,HENDERSON,00H,SG,250.63958333333332,250.6397727272727,0.9999999999990904,0.3047999999997227,-0.6,42,0.0,1000000.0,-0.6,67.59228,84.12479999996916,-0.5109971999998141
2022-12-28,HENDERSON,00H,SG,251.60833333333332,251.6085227272727,0.9999999999990904,0.3047999999997227,-0.6,43,0.0,1000000.0,-0.6,69.20162,84.42959999996887,-0.5128259999998124
2022-12-28,HENDERSON,00H,SG,251.5903409090909,251.5905303030303,0.9999999999990904,0.3047999999997227,-0.6,43,0.0,1000000.0,-0.6,69.20162,84.73439999996859,-0.5146547999998107
2022-12-28,HENDERSON,00H,SG,249.53484848484848,249.53503787878788,0.9999999999990904,0.3047999999997227,-0.6,42,-0.9,6366.2,-0.6,67.59228,85.0391999999683,-0.516483599999809
2022-12-28,HENDERSON,00H,SG,250.83901515151516,250.83920454545455,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,85.34399999996802,-0.5183123999998073
2022-12-28,HENDERSON,00H,SG,251.60303030303027,251.6032196969697,0.9999999999990904,0.3047999999997227,-0.6,43,0.0,1000000.0,-0.6,69.20162,85.64879999996774,-0.5201411999998056
2022-12-28,HENDERSON,00H,SG,249.53882575757575,249.53901515151512,0.9999999999990904,0.3047999999997227,-0.6,42,-0.7,8185.114285714286,-0.6,67.59228,85.95359999996745,-0.5219699999998039
2022-12-28,HENDERSON,00H,SG,249.5462121212121,249.5464015151515,0.9999999999990904,0.3047999999997227,-0.6,41,-0.5,11459.16,-0.6,65.98294,86.25839999996717,-0.5237987999998022
2022-12-28,HENDERSON,00H,SG,249.82329545454544,249.82348484848484,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,86.56319999996688,-0.5256275999998005
2022-12-28,HENDERSON,00H,SG,249.82405303030305,249.8242424242424,0.9999999999990904,0.3047999999997227,-0.6,41,0.1,57295.799999999996,-0.6,65.98294,86.8679999999666,-0.5274563999997988
2022-12-28,HENDERSON,00H,SG,250.5820075757576,250.58219696969695,0.9999999999990904,0.3047999999997227,-0.6,42,-0.1,57295.799999999996,-0.6,67.59228,87.17279999996632,-0.5292851999997971
2022-12-28,HENDERSON,00H,SG,250.81685606060609,250.81704545454545,0.9999999999990904,0.3047999999997227,-0.6,42,0.0,1000000.0,-0.6,67.59228,87.47759999996603,-0.5311139999997954
2022-12-28,HENDERSON,00H,SG,249.55890151515152,249.5590909090909,0.9999999999990904,0.3047999999997227,-0.6,41,-0.1,57295.799999999996,-0.6,65.98294,87.78239999996575,-0.5329427999997937
2022-12-28,HENDERSON,00H,SG,249.88352272727272,249.8837121212121,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,88.08719999996546,-0.534771599999792
2022-12-28,HENDERSON,00H,SG,250.58068181818183,250.5808712121212,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,88.39199999996518,-0.5366003999997903
2022-12-28,HENDERSON,00H,SG,249.8837121212121,249.8839015151515,0.9999999999990904,0.3047999999997227,-0.6,40,0.0,1000000.0,-0.6,64.3736,88.6967999999649,-0.5384291999997886
2022-12-28,HENDERSON,00H,SG,249.7969696969697,249.7971590909091,0.9999999999990904,0.3047999999997227,-0.6,41,0.0,1000000.0,-0.6,65.98294,89.00159999996461,-0.5402579999997869
2022-12-28,HENDERSON,00H,SG,249.8659090909091,249.8660984848485,0.9999999999990904,0.3047999999997227,-0.6,40,0.0,1000000.0,-0.6,64.3736,89.30639999996433,-0.5420867999997852
2022-12-28,HENDERSON,00H,SG,249.58617424242425,249.58636363636364,0.9999999999990904,0.3047999999997227,-0.6,42,0.0,1000000.0,-0.6,67.59228,89.61119999996404,-0.5439155999997835
