time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
11422.0,11422,179427.01059081726,177615.76356750602,177627.010590817,2,2,179415.76356750602,11.192482654680548,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,152644.95601824782,63946.65347534544,-236379.28465004446,8734.331452227463,0.006500000000001478,0.0,47.69553102120689,50.84573016074603,376395.78132336907,-17273908.20383972,-13200000.0,44703658819.38646,67239218781.124374,22535559961.738495,127627.010590817,239.08620667390173
11423.0,11423,179438.28081678343,177627.01059081726,177638.28081678317,2,2,179427.01059081726,11.347969277668925,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,151171.64557302376,62718.20010935624,-230893.707121308,8590.886463724726,0.006500000000001478,0.0,47.76863667272997,50.84573016074603,406929.8395647944,24673360.811213788,12754106.975859366,44716412926.36232,67251972888.100235,22535559961.738495,127638.28081678317,239.07920366275044
11424.0,11424,179449.56854390373,177638.28081678343,177649.56854390347,2,2,179438.28081678343,11.227484962911882,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,153271.730905916,64472.87385088184,-225396.81282377042,8447.145547625993,0.006500000000001478,0.0,47.84189314151012,50.84573016074603,511498.15034905274,-19148716.466917813,-13200000.0,44703212926.36232,67251972888.100235,22548759961.738495,127649.56854390347,239.07218977685915
11425.0,11425,179460.8115657343,177649.56854390373,177660.81156573404,2,2,179449.56854390373,11.258558698216424,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,151644.40543314043,63111.091391430724,-219891.38258430775,8303.181421102432,0.006500000000001478,0.0,47.91526336779211,50.84573016074603,536144.8255717545,4919026.5961568,5455171.421728555,44708668097.78405,67257428059.521965,22548759961.738495,127660.81156573404,239.0652036696161
11426.0,11426,179472.11229851443,177660.8115657343,177672.11229851417,2,2,179460.8115657343,11.342906862029356,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,152064.10389013324,63460.91348774683,-214407.75672152493,8088.7365908595075,0.006500000000000767,0.0,47.9883430096908,50.84573016074604,607138.634647769,13421000.521195147,12758240.922231931,44721426338.70628,67270186300.4442,22548759961.738495,127672.11229851417,239.05818170236236
11427.0,11427,179483.49769515367,177672.11229851443,177683.4976951534,2,2,179472.11229851443,11.427886416463911,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,153203.35521783857,64415.36300030937,-208895.9831542928,7870.341030678936,0.006500000000000767,0.0,48.061797772761665,50.84573016074604,695792.073851715,13622765.143171163,12754342.772987558,44734180681.47927,67282940643.217186,22548759961.738495,127683.4976951534,239.05110712729478
11428.0,11428,179494.96838970913,177683.49769515367,177694.96838970887,2,2,179483.49769515367,11.513502694446002,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,154351.13444433233,65384.16123037574,-203342.91597984225,7650.3092747496175,0.006500000000000767,0.0,48.1358028509167,50.84573016074604,786457.0917490211,13827660.685801493,12754344.853697255,44746935026.33297,67295694988.070885,22548759961.738495,127694.96838970887,239.0439795504276
11429.0,11429,179506.5250212791,177694.96838970913,177706.52502127885,2,2,179494.96838970913,11.599760445520094,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,155507.51359895873,66367.53083688165,-197748.245945722,7428.629069418312,0.006500000000000767,0.0,48.210362365527224,50.84573016074604,879171.0822646258,14035634.612997638,12754344.852586636,44759689371.185555,67308449332.92347,22548759961.738495,127706.52502127885,239.0367985746425
11430.0,11430,179518.16815283382,177706.5250212791,177718.16815283356,2,2,179506.5250212791,11.686502663893636,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,156672.55683160076,67365.69074259995,-192111.6613407255,7205.495509953039,0.006500000000000199,0.0,48.28548047073212,50.84573016074604,973967.5525218222,14220110.922973271,12754344.85258723,44772443716.03814,67321203677.776054,22548759961.738495,127718.16815283356,239.02956385012516
11431.0,11431,179529.89832075645,177718.16815283382,177729.89832075618,2,2,179518.16815283382,11.77383318133984,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,157844.14353821042,68376.96988811396,-186432.88758404713,6980.852987378912,0.006500000000000199,0.0,48.36116082583773,50.84573016074604,1070831.5494449665,14423575.012534983,12754344.85258723,44785198060.890724,67333958022.62864,22548759961.738495,127729.89832075618,239.02227504358171
