milepost,loco_force_kN,air_force_kN,total_force_kN
201.15,11114.858435579572,10516.22157354046,21631.080009120033
201.65,13681.448936634806,2317.597971001194,15999.046907636
202.15,12132.903210953285,746.4905356541095,12879.393746607395
202.65,8145.316693161448,1006.7866321277031,9152.10332528915
203.15,10711.989473648384,7320.603652151388,18032.593125799773
203.65,6946.26138366023,15309.296324133134,22255.557707793363
204.15,7810.149353534858,11130.305912776887,18940.455266311743
204.65,5973.49790438785,3879.1515340235696,9852.64943841142
205.15,6168.356134047417,2441.8710745753538,8610.227208622771
205.65,6602.011488039025,6942.495907340563,13544.507395379587
206.15,5774.743122860352,15962.799769796093,21737.542892656445
206.65,4781.1182172576755,17913.590605772086,22694.70882302976
207.15,4576.48716153276,14855.956619501669,19432.443781034428
207.65,4112.308474816195,9244.971831167699,13357.280305983893
208.15,4345.705919570435,5468.3133594892515,9814.019279059687
208.65,3609.7472635037093,2239.7430834861766,5849.490346989885
209.15,4076.49144943222,8.515486099541983,4085.0069355317623
209.65,3930.8196849889973,102.81811145900866,4033.637796448006
210.15,3514.375613836696,1559.4141573058816,5073.789771142578
210.65,3471.626725972808,3550.430406202926,7022.057132175734
211.15,3776.093947067083,6312.515703476813,10088.609650543895
211.65,3312.119776761377,9066.81465248122,12378.934429242598
212.15,3467.6649982259287,8149.986383939036,11617.651382164964
212.65,4297.842467419916,5444.589056459605,9742.43152387952
213.15,4272.39634978631,11790.968014595552,16063.364364381861
213.65,3562.116800981748,18813.278255947076,22375.395056928824
214.15,2660.0886525284695,25174.0669774558,27834.15562998427
214.65,3327.5813492425887,51766.408627639095,55093.98997688168
215.15,3402.568539024468,39112.77343086668,42515.341969891146
215.65,5107.895429972394,0.22850047371089188,5108.123930446104
216.15,3403.7656286511956,47567.42481681776,50971.19044546895
216.65,3849.0682317525257,47613.572720097254,51462.64095184978
217.15,3053.129346445478,378.24911789683546,3431.3784643423132
217.65,3862.245350565764,444.9160970083441,4307.161447574108
218.15,3612.418281230968,4335.362713850464,7947.780995081433
218.65,4155.347318392094,14356.800950903293,18512.148269295387
219.15,2641.0909875435345,13113.248329016202,15754.339316559737
219.65,3110.3993011392968,5188.504230618701,8298.903531757998
220.15,5108.239542228499,3198.0906420103374,8306.330184238835
220.65,5595.789534794488,20343.159188891845,25938.94872368633
221.15,5495.728879218852,41215.785614317385,46711.51449353623
221.65,6314.969521426522,37054.14336264373,43369.11288407025
222.15,9768.687033070992,25072.027586446326,34840.71461951732
222.65,17166.138077636977,16843.76366802756,34009.90174566454
223.15,16880.306404454754,2519.236541015588,19399.54294547034
223.65,5519.879295256867,61.41345768824388,5581.292752945112
224.15,3976.9462800862275,93.55663764327802,4070.5029177295055
224.65,4203.119938641017,179.9873240462593,4383.1072626872765
225.15,3626.4944876369664,107.86338281686336,3734.35787045383
225.65,3440.0795828181435,259.850061126959,3699.9296439451027
226.15,4005.336407173032,268.1070523489547,4273.443459521986
226.65,3069.2831090074687,410.89628035618546,3480.179389363654
227.15,3401.5731781313493,547.4002658778808,3948.97344400923
