milepost,peak_loco_kN,peak_air_kN,total_peak_kN
184.3750000000017,738.1889763779528,272.1029226784366,1010.2918990563894
184.42500000000172,738.1889763779528,272.5855897214241,1010.7745660993769
184.47500000000173,738.1889763779528,272.72506787991256,1010.9140442578654
184.52500000000174,738.1889763779528,272.7562489819448,1010.9452253598977
184.57500000000175,738.1889763779528,272.7630665541735,1010.9520429321263
184.62500000000176,738.1889763779528,272.7648310156673,1010.9538073936201
184.67500000000177,738.1889763779528,272.76543018135163,1010.9544065593045
184.72500000000178,738.1889763779528,272.767665578884,1010.9566419568368
184.7750000000018,738.1889763779528,272.7846669260316,1010.9736433039844
184.8250000000018,738.1889763779528,272.8732066576865,1011.0621830356394
184.87500000000182,738.1889763779528,273.1802618378353,1011.3692382157881
184.92500000000183,738.1889763779528,273.8940543142896,1012.0830306922423
184.97500000000184,738.1889763779528,275.0108857670234,1013.1998621449762
185.02500000000185,738.1889763779528,276.1866806619004,1014.3756570398532
185.07500000000186,738.1886445025142,277.63215091831677,1015.820795420831
185.12500000000188,738.1845217371516,285.1241154923987,1023.3086372295503
185.1750000000019,738.1524460973558,337.73096543676627,1075.883411534122
185.2250000000019,737.9884910248214,586.4225214455278,1324.4110124703493
185.2750000000019,737.4252849108004,1341.8101451456737,2079.235430056474
185.32500000000192,736.0839714995677,2813.0983705639214,3549.182342063489
185.37500000000193,733.7583745427805,4650.514678178661,5384.273052721441
185.42500000000194,730.6116477407165,6121.802640415079,6852.4142881557955
185.47500000000196,726.9995523658345,6877.187067253833,7604.186619619668
185.52500000000197,723.202933518831,7125.854323668445,7849.057257187276
185.57500000000198,719.4209666622859,7178.341040645159,7897.762007307445
185.625000000002,716.0261684602093,7185.444345353363,7901.470513813572
185.675000000002,713.7792227203022,7186.060729856466,7899.839952576769
185.725000000002,713.4358568277581,7186.060729856466,7899.496586684225
185.77500000000202,714.7247720939318,7186.060729856466,7900.785501950399
185.82500000000203,715.9828357617007,7186.060729856466,7902.043565618167
185.87500000000205,715.2309803701427,7186.060729856466,7901.291710226609
185.92500000000206,711.630658756153,7186.060729856466,7897.691388612619
185.97500000000207,706.1753619548346,7186.060729856466,7892.236091811301
186.02500000000208,701.0319668103456,7186.060729856466,7887.092696666812
186.0750000000021,697.7693641324877,7186.060729856466,7883.830093988954
186.1250000000021,696.3656375196124,7186.060729856466,7882.426367376079
186.17500000000211,695.9589469307433,7186.060729856466,7882.019676787209
186.22500000000213,695.8981858928527,7185.441130371759,7881.339316264612
186.27500000000214,696.0900168275491,7178.300775747718,7874.390792575267
186.32500000000215,697.5693436255117,7125.540294864422,7823.109638489934
186.37500000000216,704.5042944175287,6875.576022300271,7580.080316717799
186.42500000000217,725.2231828309125,6116.251608288106,6841.474791119018
186.47500000000218,764.7066015549638,4637.312194938191,5402.018796493155
186.5250000000022,813.1903992424262,2790.577967261419,3603.7683665038453
186.5750000000022,853.6072001678257,1313.602356897707,2167.209557065533
186.62500000000222,880.6058469668031,563.8540918859757,1444.4599388527788
186.67500000000223,898.2825514520235,343.76202994041824,1242.0445813924418
186.72500000000224,907.2202081699807,351.5615088368841,1258.7817170068647
186.77500000000225,905.2183348892843,424.6808403115575,1329.899175200842
186.82500000000226,893.5123069295961,494.10965535662314,1387.6219622862193
186.87500000000227,878.8590273175142,534.7031593582703,1413.5621866757847
186.92500000000229,870.6020760076339,550.4604917859518,1421.0625677935857
186.9750000000023,874.0173778290259,554.7656800779652,1428.783057906991
187.0250000000023,887.8404958290316,556.9677648494547,1444.8082606784865
187.07500000000232,907.2589708054418,564.0753302929519,1471.3343010983936
187.12500000000233,925.9794441534798,585.448672078073,1511.4281162315528
187.17500000000234,938.3697256088184,627.3257491693748,1565.6954747781933
187.22500000000235,942.8899367845124,680.8463131503365,1623.736249934849
187.27500000000236,940.8311778301919,727.4156256262748,1668.2468034564668
187.32500000000238,931.7684253217025,758.5578138610218,1690.3262391827243
187.3750000000024,914.4936968140937,777.8421605458576,1692.3358573599512
187.4250000000024,893.1871961135363,789.169906425352,1682.3571025388883
187.4750000000024,877.1109871519616,794.697108692204,1671.8080958441656
187.52500000000242,872.9129058092146,798.4737288231386,1671.3866346323532
187.57500000000243,882.9235941228918,808.7696656132387,1691.6932597361306
187.62500000000244,905.6253139253388,839.0290235359448,1744.6543374612836
187.67500000000246,929.880465205879,897.8779610444207,1827.7584262502996
187.72500000000247,938.8912028551589,971.3662514412308,1910.2574542963898
187.77500000000248,929.5464781064048,1030.2110742383688,1959.7575523447736
187.8250000000025,919.6170522177312,1060.4230136288588,1980.04006584659
187.8750000000025,926.8890338889225,1070.3685722242856,1997.257606113208
187.9250000000025,946.5501681177691,1072.467802041271,2019.01797015904
187.97500000000252,963.2490962070867,1072.7519019031315,2036.0009981102182
188.02500000000254,977.8569183160807,1072.776554478148,2050.6334727942285
188.07500000000255,997.4948222245657,1072.776554478148,2070.2713767027135
188.12500000000256,1011.44553184353,1072.776554478148,2084.222086321678
188.17500000000257,1002.458030337395,1072.776554478148,2075.234584815543
188.22500000000258,972.5719682661717,1072.776554478148,2045.3485227443198
188.2750000000026,946.8908447041548,1072.776554478148,2019.6673991823027
188.3250000000026,947.9786257220507,1072.776554478148,2020.7551802001985
188.37500000000261,964.4842764977269,1072.776554478148,2037.2608309758748
