milepost,loco_shear_kNs,car_shear_kNs,total_shear_kNs,total_vert_GNs
180.57500000000084,6341.112459473325,0.0,6341.112459473325,1.2173874598814238
180.62500000000085,6341.112459473324,0.0,6341.112459473324,1.2117786990118586
180.67500000000086,5993.177619447353,0.0,5993.177619447353,1.2135615598814236
180.72500000000088,6341.112459473325,0.0,6341.112459473325,1.2176424035573132
180.7750000000009,6341.112459473324,0.0,6341.112459473324,1.2173874598814238
180.8250000000009,5993.177619145026,0.0,5993.177619145026,1.2079527990118584
180.8750000000009,6631.427366172846,0.0,6631.427366172846,1.2212133598814239
180.92500000000092,5749.058350528072,0.0,5749.058350528072,1.207697855335969
180.97500000000093,5941.772461791017,0.0,5941.772461791017,1.222996220750989
181.02500000000094,5839.637814184737,0.0,5839.637814184737,1.211523755335969
181.07500000000095,5359.521035351236,0.0,5359.521035351236,1.2133066162055344
181.12500000000097,5477.688039679544,0.0,5477.688039679544,1.2173874598814236
181.17500000000098,5229.318310118211,0.0,5229.318310118211,1.2171325162055344
181.225000000001,4985.074817634523,0.0,4985.074817634523,1.2115237553359692
181.275000000001,4779.397170551891,0.0,4779.397170551891,1.2171325162055344
181.325000000001,4279.086061226293,0.0,4279.086061226293,1.2076978553359692
181.37500000000102,4500.603323593295,0.0,4500.603323593295,1.222996220750989
181.42500000000103,4392.7989713973875,0.0,4392.7989713973875,1.2115237553359692
181.47500000000105,4268.618896335511,0.005562218931644426,4268.624458554443,1.2171325162055344
181.52500000000106,4100.074826787705,0.45876165485265963,4100.533588442558,1.2115237553359692
181.57500000000107,3635.9205665267405,5.897781297398675,3641.818347824139,1.2133066162055344
181.62500000000108,3919.2292661130127,14.848299179053114,3934.0775652920656,1.2173874598814238
181.6750000000011,3773.235033246695,29.86003137658133,3803.0950646232764,1.2171325162055344
181.7250000000011,3625.6282059217933,47.27104440759268,3672.899250329386,1.211523755335969
181.7750000000011,3543.4472577704228,75.9677141140727,3619.4149718844956,1.2171325162055344
181.82500000000113,3193.656157672906,102.55866044783882,3296.214818120745,1.207697855335969
181.87500000000114,3543.4393563764447,136.13427127586613,3679.5736276523107,1.222996220750989
181.92500000000115,3494.505118484552,163.23739701488077,3657.7425154994326,1.211523755335969
181.97500000000116,3008.8077044915035,199.38369107285803,3208.1913955643613,1.2133066162055344
182.02500000000117,3227.3184847557172,233.6486875433381,3460.967172299055,1.2173874598814236
182.07500000000118,3415.922713758856,284.2177571574394,3700.1404709162953,1.2171325162055344
182.1250000000012,3738.903887845448,327.56215539814053,4066.4660432435885,1.2117786990118586
182.1750000000012,4085.701096851526,381.497861885038,4467.198958736564,1.2173874598814238
182.22500000000122,4005.1693694562773,424.93299549972085,4430.102364955998,1.2079527990118586
182.27500000000123,4584.498910709068,478.86893064762364,5063.367841356691,1.2232511644268784
182.32500000000124,4804.824569865979,522.3040642623066,5327.128634128286,1.2117786990118586
182.37500000000125,5028.306280337634,576.2399994102096,5604.546279747844,1.2173874598814238
182.42500000000126,5245.7183317042745,619.6751330248924,5865.393464729167,1.2117786990118586
182.47500000000127,5120.56284367763,673.6110681727952,5794.173911850425,1.2135615598814238
182.52500000000128,5684.1839441731145,717.046201787478,6401.230145960592,1.2176424035573132
182.5750000000013,5887.577324853322,770.981947446669,6658.559272299992,1.2173874598814238
182.6250000000013,6042.3175922824375,814.2158973792116,6856.53348966165,1.2117786990118586
182.67500000000132,6172.242178495819,865.5209379810594,7037.763116476878,1.2173874598814238
182.72500000000133,5930.757990376696,899.3165203130679,6830.074510689765,1.2079527990118584
182.77500000000134,6320.411465284955,942.4370931214034,7262.848558406358,1.2232511644268784
182.82500000000135,6329.4988980695525,966.5830092856385,7296.081907355191,1.2117786990118586
182.87500000000136,5988.502443079402,999.1321822615223,6987.634625340925,1.2135615598814236
182.92500000000138,6694.503651941982,1010.4999604406564,7705.0036123826385,1.2156045990118585
182.9750000000014,6010.579370416446,1037.3903021764288,7047.969672592875,1.2133066162055344
183.0250000000014,6363.748262499276,1047.2671057483233,7411.015368247599,1.2173874598814236
183.0750000000014,6360.242205781835,1073.1632872934294,7433.4054930752645,1.2171325162055344
183.12500000000142,6008.480346005252,1076.4468868756028,7084.927232880855,1.207697855335969
183.17500000000143,6359.377436735322,1091.5234015909623,7450.900838326284,1.222996220750989
183.22500000000144,6370.814678428978,1081.5811579041122,7452.39583633309,1.2115237553359692
183.27500000000146,6382.4118365335,1092.083359454882,7474.495195988382,1.2171325162055344
183.32500000000147,6385.612413820328,1081.5825579216619,7467.194971741989,1.2115237553359692
183.37500000000148,6035.415800489096,1092.083359454882,7127.499159943978,1.2133066162055344
183.4250000000015,6380.6879547691005,1081.5825579216619,7462.270512690762,1.2173874598814238
183.4750000000015,6377.935392447895,1092.083359454882,7470.018751902777,1.2171325162055344
183.5250000000015,6375.252386887461,1081.5825579216619,7456.834944809123,1.2115237553359692
183.57500000000152,6372.500068085893,1092.083359454882,7464.583427540775,1.2171325162055344
183.62500000000153,6022.335975695261,1081.5825579216619,7103.918533616923,1.207697855335969
183.67500000000155,6374.199499648337,1092.083359454882,7466.282859103219,1.222996220750989
183.72500000000156,6389.035394820183,1081.5825579216619,7470.617952741844,1.211523755335969
183.77500000000157,6407.597150879082,1092.083359454882,7499.680510333964,1.2171325162055344
183.82500000000158,6426.162521117366,1081.5825579216619,7507.745079039028,1.211523755335969
183.8750000000016,6096.106716099643,1092.0836814939717,7188.190397593615,1.2133066162055344
183.9250000000016,6452.500029346549,1081.6161505792445,7534.116179925793,1.2173874598814236
183.97500000000161,6453.261202709047,1092.6267039859913,7545.8879066950385,1.2171325162055344
184.02500000000163,6105.329113908558,1083.2406983050143,7188.569812213572,1.207697855335969
184.07500000000164,6453.263953934529,1096.047699128478,7549.311653063007,1.222996220750989
184.12500000000165,6453.263953934528,1088.1512450670264,7541.415199001554,1.211523755335969
184.17500000000166,6453.263953934529,1102.805014859131,7556.06896879366,1.2173874598814238
184.22500000000167,6453.263953934528,1096.4010456242684,7549.664999558797,1.2117786990118586
184.27500000000168,6105.329113908558,1112.8958473238679,7218.224961232426,1.2135615598814238
184.3250000000017,6453.263953934529,1107.8026746544085,7561.066628588937,1.2176424035573132
184.3750000000017,6453.263953934528,1125.2583413574916,7578.522295292019,1.2173874598814238
184.42500000000172,6453.263953934529,1120.3726645705583,7573.636618505087,1.2117786990118586
184.47500000000173,6453.263953934528,1137.8484230459455,7591.1123769804735,1.2173874598814238
184.52500000000174,6105.329113908558,1132.966379175848,7238.295493084406,1.2079527990118586
184.57500000000175,6453.263953934529,1150.4444520681593,7603.708406002688,1.2232511644268784
184.62500000000176,6453.263953934528,1145.5621486686637,7598.826102603192,1.2117786990118586
184.67500000000177,6453.263953934529,1162.9837638257509,7616.24771776028,1.2173874598814238
184.72500000000178,6453.263953934528,1157.650910272861,7610.914864207389,1.2117786990118586
184.7750000000018,6105.329113908558,1173.4010061153313,7278.730120023889,1.2135615598814236
184.8250000000018,6453.263953934529,1166.1894121483097,7619.453366082838,1.2176424035573132
184.87500000000182,6453.263953934528,1180.7226668532392,7633.986620787768,1.2173874598814238
184.92500000000183,6105.329113908558,1174.4467940869038,7279.775907995461,1.2079527990118584
184.97500000000184,6801.1987939605,1191.648055437572,7992.846849398072,1.2212133598814239
185.02500000000185,6105.329113908558,1187.2095675939165,7292.538681502474,1.207697855335969
185.07500000000186,6453.263953934529,1203.3353389314525,7656.599292865982,1.222996220750989
185.12500000000188,6453.263953934528,1194.0522786109057,7647.316232545434,1.211523755335969
185.1750000000019,6105.329113908558,1204.8050072721392,7310.134121180697,1.2133066162055344
185.2250000000019,6453.262320560876,1193.0643002174197,7646.326620778296,1.2173874598814236
185.2750000000019,6452.717281179775,1204.3940811558957,7657.1113623356705,1.2171325162055344
185.32500000000192,6445.7168305000105,1294.306708231764,7740.023538731774,1.2115237553359692
185.37500000000193,6429.8192027274235,1972.0438938463583,8401.863096573781,1.2171325162055344
185.42500000000194,6065.053099256749,2502.2736151550935,8567.326714411844,1.219170320750989
185.47500000000196,6395.512686347114,2524.496698820287,8920.009385167401,1.234468686166009
185.52500000000197,6378.3612002466025,2507.0371620866817,8885.398362333284,1.2288599252964436
185.57500000000198,6360.48813678046,2511.9216197129454,8872.409756493405,1.2459411515810286
185.625000000002,6342.286689419197,2494.4442392957917,8836.730928714987,1.240332390711463
185.675000000002,5976.767644737261,2499.3261450222003,8476.093789759461,1.253587716996048
185.725000000002,6319.101899339199,2481.848113396152,8800.950012735351,1.2576685606719376
185.77500000000202,6335.043900275077,2486.7420238074133,8821.785924082491,1.2632773215415027
