time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms,mp,speed_mps,accel_ms2,mass_kg,F_resistance_N,F_net_required_N,F_dynamic_braking_N,F_needed_N,F_braking_total_N,F_air_braking_N
3182.0,1.0,51418.83084027291,2.2352,0.0,708506.5739184393,4543.127703692195,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.11837719793647,2.2352,0.0,14615000.0,8124089.907134516,8124089.907134516,0.0,-8124089.907134516,0.0,0.0
3183.0,1.0,51421.06604027292,2.2352,0.0,708774.4037882943,4640.5319368277405,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.1169883055955,2.2352,0.0,14615000.0,8124455.141237507,8124455.141237507,0.0,-8124455.141237507,0.0,0.0
3184.0,1.0,51423.30124027292,2.2352,0.0,709093.0038184712,4738.153507759354,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.11559941325456,2.2352,0.0,14615000.0,8124871.362838617,8124871.362838617,0.0,-8124871.362838617,0.0,0.0
3185.0,1.0,51425.536440272925,2.2352,0.0,709467.28507221,4836.013439853008,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.1142105209136,2.2352,0.0,14615000.0,8125343.504024448,8125343.504024448,0.0,-8125343.504024448,0.0,0.0
3186.0,1.0,51427.77164027293,2.2352,0.0,709841.5663259487,4933.873371946664,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.11282162857262,2.2352,0.0,14615000.0,8125815.645210281,8125815.645210281,0.0,-8125815.645210281,0.0,0.0
3187.0,1.0,51430.00684027293,2.2352,0.0,710215.8475796875,5031.733304040318,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.11143273623168,2.2352,0.0,14615000.0,8126287.786396112,8126287.786396112,0.0,-8126287.786396112,0.0,0.0
3188.0,1.0,51432.24204027293,2.2352,0.0,710590.1288334263,5128.461427011989,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.1100438438907,2.2352,0.0,14615000.0,8126758.795772824,8126758.795772824,0.0,-8126758.795772824,0.0,0.0
3189.0,1.0,51434.477240272936,2.2352,0.0,710964.410087165,5225.110240401415,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10865495154974,2.2352,0.0,14615000.0,8127229.725839952,8127229.725839952,0.0,-8127229.725839952,0.0,0.0
3190.0,1.0,51436.71244027294,2.2352,0.0,711338.6913409038,5321.75905379084,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10726605920877,2.2352,0.0,14615000.0,8127700.65590708,8127700.65590708,0.0,-8127700.65590708,0.0,0.0
3191.0,1.0,51438.94764027294,2.2352,0.0,711712.9725946425,5418.4078671802645,3874296.5457015103,400000.0,250134.44682687987,2886609.212983995,3188586.2131468076,14615000.0,1015000000.0,252.10587716686783,2.2352,0.0,14615000.0,8128171.585974209,8128171.585974209,0.0,-8128171.585974209,0.0,0.0
