dist_bin,dist_nb_nb,res_grade_newtons_nb,res_curve_newtons_nb,res_total_nb,te_newtons_nb,dist_nb_sb,res_grade_newtons_sb,res_curve_newtons_sb,res_total_sb,te_newtons_sb
52220.0,52229.39304280966,-81744.91444799195,0.0,57515.96867856372,138520.16520843818,52224.628727569434,81744.91444799419,0.0,221005.79757454986,302009.9941044243
52240.0,52246.38056280966,-81744.91444799195,0.0,57515.96867856372,138520.16520843818,52241.61624756944,81744.91444799419,0.0,221005.79757454986,302009.9941044243
52310.0,52318.80104280966,-81744.91444799195,0.0,77100.75531536374,166631.7093746987,52314.03672756944,81744.91444799419,0.0,240590.5842113499,330121.53827068483
52330.0,52337.57672280966,-81744.91444799195,0.0,77100.75531536374,166631.7093746987,52332.812407569436,81744.91444799419,0.0,240590.5842113499,330121.53827068483
52350.0,52356.35240280966,-81744.91444799186,0.0,77100.75531536383,166631.70937469875,52351.588087569435,81744.91444799419,0.0,240590.5842113499,330121.53827068483
52370.0,52375.12808280966,-81744.91444799195,0.0,77100.75531536374,166631.7093746987,52370.36376756943,81744.91444799419,0.0,240590.5842113499,330121.53827068483
52460.0,52469.00648280965,-81744.91444799279,0.0,77100.7553153629,166631.70937469782,52464.24216756943,81744.91444799474,0.0,240590.58421135042,330121.53827068536
52480.0,52487.78216280965,-81744.91444799298,0.0,77100.75531536271,166631.70937469765,52483.01784756943,81744.91444799493,0.0,240590.58421135062,330121.5382706856
52500.0,52506.55784280965,-81744.91444799269,0.0,77100.755315363,166631.70937469794,52501.793527569425,81744.91444799567,0.0,240590.58421135135,330121.5382706863
52520.0,52525.33352280965,-81744.91444799279,0.0,77100.7553153629,166631.70937469782,52520.569207569424,81744.91444799567,0.0,240590.58421135135,330121.5382706863
52610.0,52619.21192280964,-81744.91444799353,0.0,77100.75531536216,166631.7093746971,52614.44760756942,81744.91444799735,0.0,240590.58421135304,330121.538270688
52630.0,52637.98760280964,-81744.91444799326,0.0,77100.75531536243,166631.70937469736,52633.22328756942,81744.91444799773,0.0,240590.58421135342,330121.5382706884
52650.0,52656.76328280964,-81744.91444799372,0.0,77100.75531536197,166631.7093746969,52651.998967569416,81744.9144479983,0.0,240590.58421135397,330121.5382706889
52670.0,52675.53896280964,-81744.91444799372,0.0,77100.75531536197,166631.7093746969,52670.774647569415,81744.91444799866,0.0,240590.58421135435,330121.5382706893
52760.0,52769.41736280963,-81717.70921819448,0.3659352981399503,77128.32648045935,166659.2805397943,52764.65304756941,81744.9144479983,0.0,240590.58421135397,330121.5382706889
52780.0,52788.19304280963,-81029.00957158135,9.075970785578289,77825.73616255992,167356.69022189485,52783.42872756941,81744.91444799904,0.0,240590.58421135473,330121.53827068966
52800.0,52806.96872280963,-80340.3099249714,17.428970213282927,78522.78880859757,168053.7428679325,52802.20440756941,81744.91444799866,0.0,240590.58421135435,330121.5382706893
52820.0,52825.74440280963,-79651.61027836108,21.96105155662376,79216.02053655124,168746.9745958862,52820.980087569405,81744.91444799866,0.0,240590.58421135435,330121.5382706893
52910.0,52919.62280280962,-76208.11204530575,52.60387004511401,82690.16158809506,172221.11564742998,52914.8584875694,81744.91444799904,0.0,240590.58421135473,330121.53827068966
52930.0,52938.39848280962,-75519.41239869541,60.001872688619144,83386.2592373489,172917.21329668383,52933.634167569406,81744.91444799866,0.0,240590.58421135435,330121.5382706893
52950.0,52957.17416280962,-74830.71275208547,81.05778152058048,84096.0147927908,173626.96885212575,52952.4098475694,81744.91444799866,0.0,240590.58421135435,330121.5382706893
52970.0,52975.94984280962,-74142.01310547515,91.26821618327097,84794.92487406381,174325.87893339872,52971.185527569396,81744.91444799866,0.0,240590.58421135435,330121.5382706893
53080.0,53089.48887218616,-71962.78354010843,78.48897107429406,86961.37519432156,176492.3292536565,53085.06967438213,78283.39922534054,33.88803309790025,241979.16882175585,331778.95457277284
53100.0,53108.26455218616,-71864.39787630894,75.82462878733668,87057.09651583408,176588.05057516904,53104.275988333815,77578.90374868107,45.65142107890972,241672.43388351565,281404.2193867266
53120.0,53127.26375218616,-71766.01221250872,69.33767793425477,87148.99522878122,331836.8377892688,53123.4823022855,76882.00529675565,48.644091407636935,235776.31915151898,331745.6368260935
53140.0,53146.26295218616,-71666.45529080469,59.01607284640048,92440.43949579739,-351518.5601799775,53142.4815022855,76185.10684482912,55.707121932326494,240288.69268051712,-351518.5601799775
53160.0,53165.03863218616,-71566.8983691014,58.87593362730279,87337.6473278816,176868.60138721653,53161.480702285495,75488.2083929022,64.05461798928908,234397.9327742472,331760.3280759266
53180.0,53184.03783218616,-71468.51270529987,54.29477563992173,87431.45183369574,331836.69152259215,53180.47990228549,74799.5087462913,163.47280002733402,233808.65130967431,323339.6053690093
53270.0,53279.25735218615,-70966.04306516971,595.1183044422241,93676.95395302819,-378558.44942459115,53275.922942285484,72153.5984105854,169.85261864017008,217440.16008034494,331834.5362120014
53290.0,53296.601197288706,-70869.99991717338,597.2266437403805,73700.69913760269,-132328.91933067268,53294.304947928686,72061.50192074617,164.65406854538713,218078.7178543233,193739.89378241458
53310.0,53313.80082792638,-70845.59252159414,592.1784541424531,71792.71055962975,-16115.294219738375,53311.88041731645,71969.68507000223,162.4722885568254,216105.62976959476,362140.83749864856
53340.0,53348.508938344465,-70845.59252159265,592.0783915414037,72022.29298121374,359884.6836703547,53346.613561061036,71788.14009512837,153.32193320354972,220749.9286403276,-388520.513883133
53360.0,53366.0864119836,-70845.59252159191,591.3224512090355,76796.4767282562,-295573.2136095854,53364.04812106103,71695.38257669844,142.64171621520995,216743.68458163942,356682.74150633387
53380.0,53383.2974519836,-70845.59252159079,590.8632425743263,73718.74313201923,-388520.513883133,53381.74973953276,71602.6250582644,140.70766346280237,220551.79933372285,-269259.58705060364
