time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1479.0,1.0,22992.38192072656,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1480.0,1.0,23009.369440726558,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1481.0,1.0,23026.356960726556,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1482.0,1.0,23043.344480726555,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1483.0,1.0,23060.332000726554,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1484.0,1.0,23077.319520726553,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1485.0,1.0,23094.30704072655,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1486.0,1.0,23111.29456072655,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1487.0,1.0,23128.28208072655,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1488.0,1.0,23145.269600726548,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1489.0,1.0,23162.257120726546,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1490.0,1.0,23179.244640726545,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
