time_seconds,dt_seconds,i,total_dist_meters,offset_meters,offset_back_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,pwr_res_watts,pwr_accel_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,mass_static_kilograms,mass_freight_kilograms,mass_rot_kilograms,weight_static_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,length_meters
3732.0,1.0,3732,57785.93614331914,58045.936143319086,57764.925263319084,2,2,58024.925263319084,21.01088,0.0,0.0,-47916.18461219795,341.76679570636213,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,5015207.69325688,5015207.69325688,0.0,11244073968.059835,11565762986.044456,321689017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000000358,-0.0036000000000001365,-43.56707076262042,-42.65264998794843,260.0
3733.0,1.0,3733,57806.94702331914,58066.94702331909,57785.936143319086,2,2,58045.936143319086,21.01088,0.0,0.0,-47475.791640896176,582.8411561533744,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,5029525.921588175,5029525.921588175,0.0,11249103493.981424,11570792511.966045,321689017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000000358,-0.0036000000000001365,-43.63430557862043,-42.72828915594844,260.0
3734.0,1.0,3734,57827.95790331914,58087.95790331909,57806.94702331909,2,2,58066.94702331909,21.01088,0.0,0.0,-47035.398669593655,836.8576167542391,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,5044116.074832765,5044116.074832765,0.0,11254147610.056257,11575836628.040878,321689017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003199999999998937,-0.0036000000000001365,-43.70154039462043,-42.803928323948455,260.0
3735.0,1.0,3735,57848.96878331914,58108.96878331909,57827.95790331909,2,2,58087.95790331909,21.01088,0.0,0.0,-46595.00569829188,1187.0063152097619,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,5060726.050991035,5060726.050991035,0.0,11259208336.107248,11580897354.09187,321689017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000000358,-0.0036000000000001365,-43.76877521062044,-42.879567491948464,260.0
3736.0,1.0,3736,57869.97966331914,58129.97966331909,57848.96878331909,2,2,58108.96878331909,21.01088,0.0,0.0,-46154.612726990104,1608.0649755539278,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,5078825.907849352,5078825.907849352,0.0,11264287162.015099,11585976179.99972,321689017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000000358,-0.0035999999999987153,-43.836010026620436,-42.95520665994846,260.0
3737.0,1.0,3737,57888.75534331914,58148.75534331909,57869.97966331909,2,2,58129.97966331909,16.54048,0.0,0.0,-45714.21975568982,2048.4980279750607,47684.53342799567,3200.0,135196.23025216002,100189.40097116055,-6600000.0,4555063.386911807,-133456331.79648001,11257687162.015099,11585976179.99972,328289017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000000358,-0.0036000000000001365,-43.90324484262046,-43.030845827948454,260.0
3738.0,1.0,3738,57905.295823319146,58165.295823319095,57888.75534331909,2,2,58148.75534331909,16.54048,0.0,0.0,-45337.21538657342,2438.7495929545744,47684.53342799567,3200.0,83786.16533055999,78872.50714750934,2822545.910935113,2822545.910935113,0.0,11260509707.926033,11588798725.910654,328289017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003200000000001779,-0.003563951999990422,-43.9633270186205,-43.09812266333242,260.0
3739.0,1.0,3739,57921.83630331915,58181.8363033191,57905.295823319095,2,2,58165.295823319095,16.54048,0.0,0.0,-45073.025135500095,2786.168377036513,47684.53342799567,3200.0,83786.16533055999,78872.50714750934,2832662.217948918,2832662.217948918,0.0,11263342370.143982,11591631388.128603,328289017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.0032000000000039107,-0.0035000000000003696,-44.01625655462055,-43.15609394161647,260.0
3740.0,1.0,3740,57938.37678331915,58198.3767833191,57921.8363033191,2,2,58181.8363033191,16.54048,0.0,0.0,-44813.00588117042,3130.1285386085624,47684.53342799567,3200.0,83786.16533055999,78872.50714750934,2842652.327398052,2842652.327398052,0.0,11266185022.47138,11594474040.456001,328289017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.003199999999997516,-0.0035000000000003696,-44.0691860906206,-43.213985621616466,260.0
3741.0,1.0,3741,57954.917263319156,58214.917263319105,57938.3767833191,2,2,58198.3767833191,16.54048,0.0,0.0,-44253.3148281906,3302.710800466423,47684.53342799567,3200.0,83786.16533055999,78872.50714750934,2854764.4795166585,2854764.4795166585,0.0,11269039786.950897,11597328804.935518,328289017.98461974,1390000.0,500000.0,200000.0,13624152.407998763,-0.002517295999926006,-0.0034999999999996588,-44.11639676314088,-43.27187730161647,260.0
