time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1496.0,1.0,27149.587781248694,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1497.0,1.0,27170.598661248696,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1498.0,1.0,27191.609541248697,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1499.0,1.0,27212.6204212487,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1500.0,1.0,27233.6313012487,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1501.0,1.0,27254.642181248702,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1502.0,1.0,27275.653061248704,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1503.0,1.0,27296.663941248706,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1504.0,1.0,27317.674821248707,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1505.0,1.0,27338.68570124871,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1506.0,1.0,27359.69658124871,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1507.0,1.0,27380.707461248712,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1508.0,1.0,27401.718341248714,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1509.0,1.0,27422.729221248715,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
