mp_group,track_long_kn,grade_front,f_curve_kn,direction
246.1,382.0244394871324,0.0012,0.03189112461258276,SB
246.2,386.58512480399503,0.00039999999999999996,0.05795857687600655,SB
246.3,393.9433288894554,0.0,0.2346726531729363,SB
246.4,409.0367526451727,0.0,1.2600356181756958,SB
246.5,383.49929168090614,0.0,0.27431444475014266,SB
246.7,158.04236943902558,0.0,0.6734516870388542,SB
246.8,-326.5573251492997,0.0,1.2519028076040595,SB
246.9,447.1088445186592,-0.0005000000000009,0.4032427782565744,SB
247.0,407.78461065389365,-0.0005000000000002,0.007893626896640677,SB
247.1,403.51260698808693,-0.0011542399999676,0.022701670601840786,SB
247.4,399.25845305548455,-0.0020000000000003,0.05535944751138458,SB
247.6,381.75652328927697,-0.00210000000000035,2.4181797234450606,SB
247.8,443.5531300784226,-0.0023000000000003,0.00783731154074686,SB
247.9,59.38742348961196,-0.00229999999999995,0.8669120912383517,SB
248.0,62.114830778764,-0.00274999999999995,2.6762562997770036,SB
248.2,-69.05470757278897,-0.0035999999999996334,0.8820005927797956,SB
248.3,62.624345955750556,-0.0036000000000001,3.1886712356189966,SB
248.5,-1.188630906810707,-0.004178987428570529,1.204535017349379,SB
248.6,-138.02273739489,-0.0042597239999988,0.8499988743557991,SB
248.7,66.7118334180427,-0.004300000000000275,1.3187232248504321,SB
248.9,202.70055011259055,-0.004300000000000134,6.2210058476157775,SB
249.0,-173.7292454241059,-0.0042999999999999,5.060498504065614,SB
249.1,342.724486588959,-0.0042999999999999,4.44036059812551,SB
249.3,-335.2124677408767,-0.004399999999999134,4.2864992458596,SB
249.4,59.24074615730885,-0.004449999999998851,4.641046531336004,SB
249.7,-337.9636047152457,-0.0048999999999999,0.03434681458118642,SB
250.0,195.52370516488884,-0.0051,3.487041728177356,SB
250.3,36.69092444103745,-0.0058999999999999,0.006820233437681303,SB
250.4,-138.45769943614096,-0.0058999999999999,0.027629831507408196,SB
250.5,139.5755452499041,-0.00599999999999884,0.06089847772338018,SB
250.6,-135.28286205885897,-0.006000000000000149,0.053978089435168936,SB
250.7,4.820760180497465,-0.006000000000000014,0.10066402467492312,SB
250.8,118.21995995320887,-0.006000000000000385,0.08726680187177727,SB
250.9,-69.3392962629432,-0.005999999999999933,0.016318994253886946,SB
251.0,446.7151471411486,-0.0059999999999998,0.009545400745917839,SB
251.1,-327.85053731272086,-0.0059999999999998,0.0001893467109346185,SB
251.3,446.70560174040264,-0.0059999999999998,0.0,SB
251.5,-327.7178579324135,-0.006,0.0009570187101980953,SB
251.6,97.45871870268061,-0.005999999999999943,0.035843349551248814,SB
251.7,-62.80660791285624,-0.006033333333333366,0.1082562691366626,SB
251.8,70.95794366356944,-0.00609999999999955,0.13282146388251975,SB
252.0,457.7895203046361,-0.0061000000000001,0.0,SB
252.3,59.48338423070545,-0.0060999999999999,0.009999886852161242,SB
252.4,58.26117124867096,-0.00609999999999995,0.018958120920284986,SB
252.8,70.86496366033839,-0.00639999999999995,0.04335647104898068,SB
