time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules
3512.0,3512,59732.750859756634,59696.86925975663,59714.750859756634,1,1,49714.86925975663,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1336478406.5906818,1336478406.5906818,0.0
3513.0,3513,59750.632459756634,59714.750859756634,59732.632459756634,1,1,49732.750859756634,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1336840795.3435748,1336840795.3435748,0.0
3514.0,3514,59768.514059756635,59732.632459756634,59750.514059756635,1,1,49750.632459756634,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1337203184.0964677,1337203184.0964677,0.0
3515.0,3515,59786.395659756636,59750.514059756635,59768.395659756636,1,1,49768.514059756635,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1337565572.8493607,1337565572.8493607,0.0
3516.0,3516,59804.277259756636,59768.395659756636,59786.277259756636,1,1,49786.395659756636,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1337927961.6022537,1337927961.6022537,0.0
3517.0,3517,59822.15885975664,59786.277259756636,59804.15885975664,1,1,49804.277259756636,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1338290350.3551466,1338290350.3551466,0.0
3518.0,3518,59840.04045975664,59804.15885975664,59822.04045975664,1,1,49822.15885975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1338652739.1080396,1338652739.1080396,0.0
3519.0,3519,59857.92205975664,59822.04045975664,59839.92205975664,1,1,49840.04045975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1339015127.8609326,1339015127.8609326,0.0
3520.0,3520,59875.80365975664,59839.92205975664,59857.80365975664,1,1,49857.92205975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1339377516.6138256,1339377516.6138256,0.0
3521.0,3521,59893.68525975664,59857.80365975664,59875.68525975664,1,1,49875.80365975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1339739905.3667185,1339739905.3667185,0.0
3522.0,3522,59911.56685975664,59875.68525975664,59893.56685975664,1,1,49893.68525975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1340102294.1196115,1340102294.1196115,0.0
3523.0,3523,59929.44845975664,59893.56685975664,59911.44845975664,1,1,49911.56685975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1340464682.8725045,1340464682.8725045,0.0
3524.0,3524,59947.33005975664,59911.44845975664,59929.33005975664,1,1,49929.44845975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1340827071.6253974,1340827071.6253974,0.0
3525.0,3525,59965.21165975664,59929.33005975664,59947.21165975664,1,1,49947.33005975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1341189460.3782904,1341189460.3782904,0.0
3526.0,3526,59983.09325975664,59947.21165975664,59965.09325975664,1,1,49965.21165975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1341551849.1311834,1341551849.1311834,0.0
3527.0,3527,60000.97485975664,59965.09325975664,59982.97485975664,1,1,49983.09325975664,17.8816,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,0.0,0.0,0.0,0.0,0.0,0.0,362388.7528929159,0.0,362388.7528929159,1341914237.8840764,1341914237.8840764,0.0
3528.0,3528,60019.07997975664,59982.97485975664,60001.07997975664,1,1,50000.97485975664,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,15949.33063064549,1600.8604596920316,-2946.697521505415,375.08918674858404,-0.0060999999999999995,0.0,-0.005946644515523076,0.0,320359.33481030475,7389559.827302421,7709919.162112726,1349624157.046189,1349624157.046189,0.0
3529.0,3529,60037.40861975664,60001.07997975664,60019.40861975664,1,1,50019.07997975664,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-54408.39569554037,6890.457122610774,-0.0060999999999999995,-0.0060999999999999995,-0.1163878765155241,-0.0065878765155241124,-490697.0611961432,0.0,-490697.0611961432,1349133459.984993,1349624157.046189,490697.0611961432
3530.0,3530,60055.73725975664,60019.40861975664,60037.73725975664,1,1,50037.40861975664,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-54408.39569554035,6972.860239156841,-0.006099999999999997,-0.0060999999999999995,-0.22819258051552233,-0.1183925805155224,-489186.72413809184,0.0,-489186.72413809184,1348644273.260855,1349624157.046189,979883.785334235
3531.0,3531,60074.06589975664,60037.73725975664,60056.06589975664,1,1,50055.73725975664,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-54408.39569554041,7024.948288064524,-0.0060999999999999995,-0.006099999999999997,-0.3399972845155207,-0.23019728451552066,-488232.0210413617,0.0,-488232.0210413617,1348156041.2398136,1349624157.046189,1468115.8063755967
3532.0,3532,60092.39453975664,60056.06589975664,60074.39453975664,1,1,50074.06589975664,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-54408.39569554036,7008.99831259142,-0.006100000000000006,-0.0060999999999999995,-0.45180198851551895,-0.342001988515519,-488524.3623998162,0.0,-488524.3623998162,1347667516.8774137,1349624157.046189,1956640.168775413
3533.0,3533,60110.7835469961,60074.39453975664,60092.7835469961,1,1,50092.39453975664,18.44937447891168,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-53832.472433183444,2264.1376862146776,-0.006000000000000005,-0.006100000000000006,-0.5624444385398505,-0.45380669251551725,-566795.9864272621,2027030.919770779,1460234.9333435171,1349127751.8107572,1351084391.9795325,1956640.168775413
3534.0,3534,60129.2352160428,60092.7835469961,60111.2352160428,1,1,50110.7835469961,18.453963614484408,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16455.75191776772,1704.135087993298,-53516.454782499,62.01300123117565,-0.0060000000000000496,-0.006000000000000005,-0.672778481976593,-0.5647784819765924,-601131.9814963773,77310.29345898153,-523821.6880373957,1348603930.1227198,1351084391.9795325,2480461.8568128087
3535.0,3535,60147.678385284446,60111.2352160428,60129.678385284446,1,1,50129.2352160428,18.432374868812328,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16459.84515554053,1704.9829736066042,-53516.454782499335,71.48880611048327,-0.006000000000000072,-0.0060000000000000496,-0.7834884962567878,-0.6754884962567866,-600589.1747773647,-363524.5447024733,-964113.7194798379,1347639816.40324,1351084391.9795325,3444575.5762926466
3536.0,3536,60166.05889271885,60129.678385284446,60148.05889271885,1,1,50147.678385284446,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16440.589270014352,1700.996088836848,-53516.454782500165,73.86714739857653,-0.006000000000000139,-0.006000000000000072,-0.8941475117066753,-0.7861475117066724,-598932.1347335939,-1740816.6685272874,-2339748.8032608815,1345300067.5999792,1351084391.9795325,5784324.3795535285
3537.0,3537,60184.47850074787,60148.05889271885,60166.47850074787,1,1,50166.05889271885,18.51057605803535,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-53516.454782498404,40.434218426099896,-0.00599999999999995,-0.006000000000000139,-1.0044305563131073,-0.896430556313108,-602878.0056063137,3059637.269199843,2456759.2635935294,1347756826.8635726,1353541151.243126,5784324.3795535285
3538.0,3538,60203.12162877689,60166.47850074787,60185.12162877689,1,1,50184.47850074787,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16510.340110130877,1715.4599973775098,-53516.45478249824,6.814792102860964,-0.0059999999999999385,-0.00599999999999995,-1.114948204487228,-1.006948204487229,-607169.7132623984,4512380.825443396,3905211.112180998,1351662037.9757535,1357446362.3553069,5784324.3795535285
3539.0,3539,60221.89730877689,60185.12162877689,60203.89730877689,1,1,50203.12162877689,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.45478249824,8.150265225656534,-0.0059999999999999385,-0.0059999999999999385,-1.2268069726613462,-1.1188069726613472,-606092.7685336701,0.0,-606092.7685336701,1351055945.2072198,1357446362.3553069,6390417.148087199
3540.0,3540,60240.44946877689,60203.89730877689,60222.44946877689,1,1,50221.89730877689,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.45478249868,17.952146340045065,-0.0060000000000000496,-0.0059999999999999385,-1.339461052661339,-1.2314610526613392,-598695.5323653519,-7572018.094643239,-8170713.627008591,1342885231.5802112,1357446362.3553069,14561130.77509579
3541.0,3541,60258.77810877689,60222.44946877689,60240.77810877689,1,1,50240.44946877689,18.32864,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-53516.45478249912,2.840895210517479,-0.0060000000000000496,-0.0060000000000000496,-1.4507740126613355,-1.3427740126613348,-600589.6355899163,0.0,-600589.6355899163,1342284641.9446213,1357446362.3553069,15161720.410685707
3542.0,3542,60277.18945581505,60240.77810877689,60259.18945581505,1,1,50258.77810877689,18.49405407632235,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16348.063896411628,1681.9040204639412,-53516.454782499335,40.47341878100544,-0.006000000000000116,-0.0060000000000000496,-1.5607458526613351,-1.452745852661334,-602606.899744991,2780537.8152850703,2177930.9155400796,1344462572.8601613,1359624293.2708468,15161720.410685707
3543.0,3543,60295.824322853216,60259.18945581505,60277.824322853216,1,1,50277.18945581505,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16495.603478676527,1712.3990283775463,-53516.454782500325,40.70122926975407,-0.006000000000000183,-0.006000000000000116,-1.6712139348903194,-1.5632139348903162,-606600.8558376608,4791480.279358169,4184879.423520508,1348647452.2836819,1363809172.6943674,15161720.410685707
3544.0,3544,60314.600002853214,60277.824322853216,60296.600002853214,1,1,50295.824322853216,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.454782500325,64.70750023850526,-0.006000000000000183,-0.006000000000000183,-1.7830231371193013,-1.675023137119298,-605030.8679874233,0.0,-605030.8679874233,1348042421.4156945,1363809172.6943674,15766751.278673131
3545.0,3545,60333.37568285321,60296.600002853214,60315.37568285321,1,1,50314.600002853214,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.45478249813,36.02932756795927,-0.00599999999999985,-0.006000000000000183,-1.8956772171192933,-1.7876772171192945,-605569.320180429,0.0,-605569.320180429,1347436852.095514,1363809172.6943674,16372320.59885356
3546.0,3546,60352.15136285321,60315.37568285321,60334.15136285321,1,1,50333.37568285321,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.454782497465,24.5428727868377,-0.00599999999999985,-0.00599999999999985,-2.0083312971192835,-1.900331297119286,-605784.9861797213,0.0,-605784.9861797213,1346831067.1093342,1363809172.6943674,16978105.585033283
3547.0,3547,60370.92704285321,60334.15136285321,60352.92704285321,1,1,50352.15136285321,18.77568,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.4547824979,37.03687947147273,-0.005999999999999872,-0.00599999999999985,-2.1209853771192746,-2.0129853771192763,-605550.402708301,0.0,-605550.402708301,1346225516.706626,1363809172.6943674,17583655.987741582
3548.0,3548,60389.50182462067,60352.92704285321,60371.50182462067,1,1,50370.92704285321,18.373883534909865,0.0,0.0,1.0,18.0,910000.0,3000.0,101500.0,8919409.130416457,2675.8227391249366,40.0,16746.79716217777,1764.9486568104653,-53516.45478249769,41.56026294619541,-0.005999999999999872,-0.005999999999999872,-2.2336394571192653,-2.1256394571192674,-598987.0423177007,-6813976.1500875065,-7412963.192405207,1338812553.5142207,1363809172.6943674,24996619.18014679
