time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons
1508.0,256.83839614982253,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1509.0,256.8495072885502,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1510.0,256.86061842727787,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1511.0,256.87172956600557,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1512.0,256.88284070473327,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1513.0,256.8939518434609,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1514.0,256.9050629821886,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1515.0,256.91617412091625,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1516.0,256.92728525964395,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1517.0,256.93839639837165,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1518.0,256.9495075370993,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1519.0,256.960618675827,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1520.0,256.9717298145547,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1521.0,256.98284095328233,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1522.0,256.99395209201003,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1523.0,257.0050632307377,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1524.0,257.0161743694654,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1525.0,257.0272855081931,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1526.0,257.0383966469207,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1527.0,257.0495077856484,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1528.0,257.06061892437606,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1529.0,257.07173006310376,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1530.0,257.08284120183146,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1531.0,257.0939523405591,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1532.0,257.1050634792868,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1533.0,257.1161746180145,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1534.0,257.12728575674214,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1535.0,257.13839689546984,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1536.0,257.1495080341975,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1537.0,257.1606191729252,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1538.0,257.1717303116529,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1539.0,257.1828414503805,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
1540.0,257.1939525891082,17.8816,0.0,0.0,234.07604190660035,234.07604190660035,234.07604190660035,4185654.150957065,0.0,0.0
