time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_aero_newtons
3822.0,247.66235071663695,16.929238319579838,0.019471092439190082,0.0,0.0,0.0,4483.230232832167,6377172.426293615,-213246.23386041535,11089.624565290853,1006084.5210898916,3579302.3210373996
3823.0,247.67287591342892,16.948002090868528,0.019243433735332136,0.0,0.0,0.0,4498.762351618044,6377172.426293615,-205611.64292323103,11089.624565290853,1006084.5210898916,3587199.848886092
3824.0,247.68341281328262,16.96690673017437,0.019175991518480113,0.0,0.0,0.0,4514.361641152721,6377172.426293615,-197968.61201547447,11089.624565290853,1006084.5210898916,3595156.1075130133
3825.0,247.6939615098822,16.985972040935962,0.019220964970182972,0.0,0.0,0.0,4530.038073283838,6377172.426293615,-190317.08275239525,11089.624565290853,1006084.5210898916,3603181.0103810504
3826.0,247.70452210802992,17.005214005217397,0.0193386200638761,0.0,0.0,0.0,4545.800336603636,6377172.426293615,-182656.9871037862,11089.624565290853,1006084.5210898916,3611283.178052241
3827.0,247.71509472143853,17.02464532078283,0.019503379793973787,0.0,0.0,0.0,4561.655540653847,6377172.426293615,-174988.24896589623,11089.624565290853,1006084.5210898916,3619469.6439645607
3828.0,247.72567947110602,17.04427673900383,0.019705328152504822,0.0,0.0,0.0,4577.609434758974,6377172.426293615,-167310.78576452687,11089.624565290853,1006084.5210898916,3627746.0748683186
3829.0,247.7362764835693,17.064115336315744,0.01994955889575521,0.0,0.0,0.0,4593.666970353971,6377172.426293615,-159624.50963512543,11089.624565290853,1006084.5210898916,3636117.3343339143
3830.0,247.7468858893164,17.084166753710768,0.020255740201917765,0.0,0.0,0.0,4609.831557132216,6377172.426293615,-151929.32869101668,11089.624565290853,1006084.5210898916,3644586.740168051
3831.0,247.7575078215454,17.104434073191946,0.020655260691901257,0.0,0.0,0.0,4626.106010974718,6377172.426293615,-144225.1481763512,11089.624565290853,1006084.5210898916,3653157.0134958858
3832.0,247.76814241492897,17.12491895864309,0.021182413508598896,0.0,0.0,0.0,4642.492068707867,6377172.426293615,-136511.87136728808,11089.624565290853,1006084.5210898916,3661829.7944199727
3833.0,247.77878980467597,17.14562147214766,0.02185784434646271,0.0,0.0,0.0,4658.990870023113,6377172.426293615,-128789.40046927011,11089.624565290853,1006084.5210898916,3670606.1248372006
3834.0,247.789450119489,17.16652061026123,0.022668290388457888,0.0,0.0,0.0,4675.601550177468,6377172.426293615,-121058.96157236736,11089.624565290853,1006084.5210898916,3679486.366094653
3835.0,247.8001234858257,17.187630150431218,0.023552036141004252,0.0,0.0,0.0,4691.642548435024,6377172.426293615,-113993.42800507274,11089.624565290853,1006084.5210898916,3688461.830784914
3836.0,247.81081166377507,17.21419445157843,0.024402162588980366,0.0,0.0,0.0,4707.696540189321,6377172.426293615,-107017.86418691206,11091.127952469937,1006084.5210898916,3697538.755333872
3837.0,247.82151681297833,17.24225518601662,0.025092163992005465,0.0,0.0,0.0,4726.125143751812,6377172.426293615,-100032.62025978936,11096.210647773809,1006084.5210898916,3708977.032273936
3838.0,247.83223963994058,17.271093500800813,0.025516099214813792,0.0,0.0,0.0,4745.236055044953,6377172.426293615,-93036.28479312146,11108.977457613611,1006084.5210898916,3721078.841290569
3839.0,247.84297984009308,17.29817392606269,0.02562559261150667,0.0,0.0,0.0,4764.281567349065,6377172.426293615,-86477.715005689,11138.22444745594,1006084.5210898916,3733536.5368174063
3840.0,247.85373715848712,17.326191642451754,0.0254462097833169,0.0,0.0,0.0,4781.305190807483,6377172.426293615,-81297.41836561696,11264.282506179892,1006084.5210898916,3745253.805577029
3841.0,247.8645106977387,17.350383675808853,0.02506570096748386,0.0,0.0,0.0,4798.769611590707,6377172.426293615,-76219.88517675786,11509.0284700989,1006084.5210898916,3757395.947207475
3842.0,247.87529896707798,17.373603081187557,0.024602974520023243,0.0,0.0,0.0,4814.7220563722,6377172.426293615,-71134.69562415747,11876.283496625814,1006084.5210898916,3767895.94740984
3843.0,247.88610156682893,17.39650868515361,0.02417271127281448,0.0,0.0,0.0,4829.4709148727015,6377172.426293615,-66943.28163447084,12342.095878032798,1006084.5210898916,3777987.579539248
3844.0,247.89691842047486,17.41948180796055,0.023861954941740426,0.0,0.0,0.0,4843.07732197155,6377172.426293615,-63805.49312895499,12842.243021811286,1006084.5210898916,3787956.050988802
3845.0,247.9077495870742,17.442577501944324,0.023726784561773098,0.0,0.0,0.0,4856.752584947833,6377172.426293615,-60663.56435082678,13364.529665506643,1006084.5210898916,3797967.0985432626
3846.0,247.91859513930055,17.465784538013597,0.02380290604646011,0.0,0.0,0.0,4870.5020011375445,6377172.426293615,-57517.47814562956,13890.081607432256,1006084.5210898916,3808044.87658585
3847.0,247.9294551428896,17.489091814024036,0.02411825416968175,0.0,0.0,0.0,4884.318327396581,6377172.426293615,-54367.21340413244,14416.331571510907,1006084.5210898916,3818184.688139311
3848.0,247.94032965676837,17.51248851730374,0.024694050299079444,0.0,0.0,0.0,4898.196919512076,6377172.426293615,-51212.75103236137,14943.28274738049,1006084.5210898916,3828381.8667071657
3849.0,247.95121873328623,17.535964289166767,0.025529583607813867,0.0,0.0,0.0,4912.1297125807205,6377172.426293615,-48054.073914019165,15467.417807397796,1006084.5210898916,3838631.8475974505
3850.0,247.96212241848008,17.559509170620085,0.026577837178539496,0.0,0.0,0.0,4926.069233843797,6377172.426293615,-44891.16684339215,15945.638869773846,1006084.5210898916,3848930.240727524
3851.0,247.9730413941639,17.58517948333367,0.027728320466454435,0.0,0.0,0.0,4939.9779946379085,6377172.426293615,-41724.016448310234,16344.68212716512,1006084.5210898916,3859272.8078691615
3852.0,247.98397876001616,17.618701237981828,0.02881471960774394,0.0,0.0,0.0,4954.755947536852,6377172.426293615,-38552.4246849775,16659.02440917496,1006084.5210898916,3870564.8267227625
3853.0,247.99493627605173,17.650036475416485,0.029652022683190078,0.0,0.0,0.0,4972.922750221446,6377172.426293615,-35375.4912020135,16878.297632697337,1006084.5210898916,3885335.4227008703
3854.0,248.00591391013322,17.683454789951842,0.03009161334475157,0.0,0.0,0.0,4990.061334967354,6377172.426293615,-32192.70477484345,17001.501599742944,1006084.5210898916,3899168.017052563
3855.0,248.01691359130558,17.72099900599825,0.03006910172513217,0.0,0.0,0.0,5009.0555439631535,6377172.426293615,-28012.397315859547,17036.172411979172,1006084.5210898916,3913947.2477771426
3856.0,248.02793425324697,17.75098517143676,0.029622335442283543,0.0,0.0,0.0,5030.88929895445,6377172.426293615,-22820.46711784195,17040.742167655208,1006084.5210898916,3930584.502814746
3857.0,248.03897253697195,17.777717888568553,0.02887112018295475,0.0,0.0,0.0,5049.381893276236,6377172.426293615,-17618.633842969728,17018.159334189626,1006084.5210898916,3943897.846695124
3858.0,248.05002724052332,17.8038353380831,0.027971096476364286,0.0,0.0,0.0,5066.376864897738,6377172.426293615,-12408.48295696177,16915.133469136166,1006084.5210898916,3955785.693295672
3859.0,248.06109864420515,17.83147026453189,0.027067122136815478,0.0,0.0,0.0,5083.019914668399,6377172.426293615,-7190.581792476075,16708.763965516286,1006084.5210898916,3967417.211405467
3860.0,248.07218661511695,17.857159949861984,0.02626631225658846,0.0,0.0,0.0,5100.251335637162,6377172.426293615,-1964.7980439084797,16388.475763733,1006084.5210898916,3979743.136827445
3861.0,248.08329015678098,17.881587533346778,0.025635722049143835,0.0,0.0,0.0,5116.286731944888,6377172.426293615,3026.5453959114807,15957.087242901098,1006084.5210898916,3991218.578216184
3862.0,248.09440873085137,17.90554445550638,0.025215875975198195,0.0,0.0,0.0,5131.108617158267,6377172.426293615,7412.001354234264,15466.525903385977,1006084.5210898916,4002145.568810756
3863.0,248.10554220015726,17.92953052997961,0.025034470706337176,0.0,0.0,0.0,5147.279955426981,6377172.426293615,13366.517941931012,14952.38570926059,1006084.5210898916,4012876.5306858984
3864.0,248.11669058421447,17.953550267271417,0.025111030659683082,0.0,0.0,0.0,5163.486033588471,6377172.426293615,19329.01162510472,14437.556736229782,1006084.5210898916,4023634.944137246
3865.0,248.12785389373033,17.97757080525822,0.025449985924933343,0.0,0.0,0.0,5179.72723923217,6377172.426293615,25299.492855382305,13920.336458031616,1006084.5210898916,4034422.888828865
3866.0,248.13903214187886,18.001632945463957,0.02602641849911831,0.0,0.0,0.0,5195.973617888815,6377172.426293615,31277.9673670455,13385.492912759848,1006084.5210898916,4045225.6365191177
3867.0,248.15022577786337,18.02709932517132,0.026771641672084883,0.0,0.0,0.0,5212.2608747878685,6377172.426293615,37264.44221539525,12850.33635310208,1006084.5210898916,4056061.57512948
3868.0,248.16143563499003,18.05384361129527,0.027570530404179738,0.0,0.0,0.0,5227.669963972188,6377172.426293615,41736.17802019998,12303.590770256127,1006084.5210898916,4067545.674091841
3869.0,248.17266346337053,18.084943040430755,0.028278942278506896,0.0,0.0,0.0,5243.551110562859,6377172.426293615,46009.78688913926,11833.278708477474,1006084.5210898916,4079623.523875351
3870.0,248.18391066041278,18.116185135511355,0.028760828025319783,0.0,0.0,0.0,5261.559211015093,6377172.426293615,50290.24705947126,11493.749524417051,1006084.5210898916,4093690.6933413134
3871.0,248.19517750511278,18.148182563460757,0.02893475350135437,0.0,0.0,0.0,5279.774177846411,6377172.426293615,54578.091274372026,11264.792737093652,1006084.5210898916,4107846.772745053
3872.0,248.2064648133403,18.18205068226049,0.028807282219773564,0.0,0.0,0.0,5298.450059919887,6377172.426293615,58873.42589735085,11121.685506139263,1006084.5210898916,4122370.427426506
3873.0,248.2177711210304,18.209335753758833,0.028474329906618478,0.0,0.0,0.0,5318.083926082573,6377172.426293615,63176.561967906186,11051.732100893323,1006084.5210898916,4137771.110923882
3874.0,248.22909361324523,18.234143488243287,0.028085319103592053,0.0,0.0,0.0,5334.770825534614,6377172.426293615,67486.94133076962,11000.160952451535,1006084.5210898916,4150199.2021615007
3875.0,248.24043151252596,18.25892616864845,0.027785694002810696,0.0,0.0,0.0,5348.6864575351,6377172.426293615,70123.571085861,10963.300421204043,1006084.5210898916,4161515.0649381434
3876.0,248.25178530070812,18.285284777540983,0.027665738047147455,0.0,0.0,0.0,5362.14271359945,6377172.426293615,72284.78270407215,10938.527827863783,1006084.5210898916,4172834.8819776224
3877.0,248.2631556223869,18.312142203538407,0.027740225255213465,0.0,0.0,0.0,5376.3621689437905,6377172.426293615,74449.02303840914,10937.2272957677,1006084.5210898916,4184891.397519722
3878.0,248.27454291914657,18.3399221308709,0.027964507836078106,0.0,0.0,0.0,5390.906769736538,6377172.426293615,76616.4149605404,11011.870953587752,1006084.5210898916,4197193.962732518
3879.0,248.2859486156685,18.3713651503006,0.028271511680919143,0.0,0.0,0.0,5406.028225192954,6377172.426293615,78787.04264452729,11218.56615276786,1006084.5210898916,4209938.095305767
3880.0,248.29737298344833,18.40001893523558,0.028605056192721218,0.0,0.0,0.0,5423.006302613726,6377172.426293615,80961.1776607777,11574.613034640372,1006084.5210898916,4224385.990828416
3881.0,248.30881466138277,18.427080998774123,0.028931418189124213,0.0,0.0,0.0,5438.847713177683,6377172.426293615,83138.87176134372,12050.518659665846,1006084.5210898916,4237573.801666782
3882.0,248.32027357145643,18.45548367711116,0.029227972780669024,0.0,0.0,0.0,5450.48645257115,6377172.426293615,81747.57909737685,12606.452340498285,1006084.5210898916,4250047.900043383
3883.0,248.3317507136966,18.485764508544275,0.029463219661815806,0.0,0.0,0.0,5459.895179349727,6377172.426293615,77485.90320279023,13165.09042746817,1006084.5210898916,4263159.664629577
3884.0,248.34324687403137,18.51669683776712,0.029585249354902185,0.0,0.0,0.0,5469.759313328477,6377172.426293615,72797.85917216093,13716.234891394564,1006084.5210898916,4277160.698175031
3885.0,248.35476197424265,18.54672591020876,0.02952919136927012,0.0,0.0,0.0,5479.91862789114,6377172.426293615,68102.04686063809,14245.393902881977,1006084.5210898916,4291486.666037729
