link_idx,offset_meters,elevation_meters,grade_percent,curvature_degrees,speed_limit_mps
0,12500.0,-15.651599936179796,0.49,0.0,16.54043888888889
0,12600.0,-13.45796495999643,0.51,1.7083239595441535,16.0934
0,12700.0,-13.1052679114789,0.51,2.556607495070696,16.0934
0,12800.0,-12.89597081454427,0.51,2.5318848512912266,16.0934
0,12900.0,-12.501692076518422,0.51,2.5534103953125546,16.0934
0,13000.0,-11.367814719995902,0.59,0.09796587933527594,16.54953219930713
0,13100.0,-10.793446996919666,0.59,-0.53072885115743,16.54043888888889
0,13200.0,-10.268407887055314,0.59,0.03759456539694417,16.54043888888889
0,13300.0,-10.086157129999549,0.59,0.0,16.54043888888889
0,13400.0,-9.901782129999583,0.59,0.0,16.54043888888889
0,13500.0,-8.40972719999587,0.6,-0.016929134011225817,16.464759076306592
0,13600.0,-7.811555999996166,0.6,-0.3464566910039771,16.815389317561625
0,13700.0,-7.213384799996466,0.6,0.06266404207357817,16.707345140359187
0,13800.0,-6.617042399996733,0.6,0.043175853063207405,16.0934
0,13900.0,-6.017042399996435,0.6,0.11124234475921894,16.14365765309667
0,14000.0,-5.420416199997012,0.6,-0.26896325467028465,16.162773160734616
0,14100.0,-4.824357599996191,0.6,-0.4579527563431422,16.987477777777777
0,14200.0,-4.237159199996171,0.6,0.00043229888629347585,16.095332544137964
0,14300.0,-3.673314646150414,0.6,0.025667945361015906,16.54043888888889
0,14400.0,-3.1893880941153103,0.6,0.006770109615712836,16.57070391169153
0,14500.0,-2.7292336524570167,0.6,0.08107439438801542,16.17800481704331
0,14600.0,-2.394602225741927,0.6,0.0,16.63653193938165
0,14700.0,-2.1530180673261166,0.6,0.0,16.878555540254464
0,14800.0,-1.864632730995932,0.6,0.0,16.915007493689924
0,14900.0,-1.5379480948774014,0.6,0.0,16.783231840384538
0,15000.0,-1.2112634587588706,0.6,0.0,16.65145618707915
0,15100.0,-0.8520845363097406,0.6,0.0,16.558877874717407
0,15200.0,-0.3191236424549962,0.6,0.0,16.675929991340627
0,15300.0,0.21383725139974824,0.6,0.0,16.792982107963844
0,15400.0,0.7467981452544926,0.6,0.0,16.910034224587065
0,15500.0,3.5917364000038123,0.61,0.6216972859029942,15.646361111111112
0,15600.0,4.192440000003775,0.61,0.01279527595064423,16.970317819945766
0,15700.0,4.781987920003847,0.61,-0.963876225837172,16.987477777777777
0,15800.0,5.358399136842571,0.61,0.003442464431847517,15.692528575350691
0,15900.0,5.689848480000651,0.61,-0.05944881889659579,16.987477777777777
0,16000.0,5.926292365797294,0.61,0.0,16.814235825113116
0,16100.0,6.134045988985732,0.61,0.0,16.45996939485007
0,16200.0,6.341799612174169,0.61,0.0,16.105702964587028
0,16300.0,6.74700597531633,0.61,0.0,16.324539387412017
0,16400.0,7.159316179397932,0.61,0.0,16.563994574561224
0,16500.0,7.571626383479534,0.61,0.0,16.803449761710432
0,16600.0,10.308406240004317,0.64,-0.1,16.54043888888889
0,16700.0,10.94060336000435,0.64,0.0,16.987477777777777
0,16800.0,11.543681464619544,0.64,0.007268322216667064,16.987477777777777
0,16900.0,12.047759328003485,0.64,0.033805774275271594,16.987477777777777
0,17000.0,12.647325401656522,0.64,0.07543654150920528,16.987477777777777
0,17100.0,13.190822417353713,0.64,-0.08033867754667195,16.987477777777777
0,17200.0,13.606082070963643,0.64,0.0,16.987477777777777
0,17300.0,14.10687303141547,0.64,0.0,16.987477777777777
0,17400.0,14.647944135505707,0.64,0.0,16.987477777777777
0,17500.0,16.040114746670252,0.65,0.22169728778440778,15.646361111111112
0,17600.0,16.713317440005053,0.68,0.38439092178425294,16.0934
