ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg
2022-12-28,HENDERSON,00H,SG,249.53939393939393,249.53977272727272,1.999999999998181,0.60959999999944559,-0.6,41,-0.7
2022-12-28,HENDERSON,00H,SG,250.65473484848485,250.65511363636364,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.80814393939394,250.80852272727273,1.999999999998181,0.60959999999944559,-0.6,41,0.1
2022-12-28,HENDERSON,00H,SG,247.61515151515152,247.61553030303031,1.999999999998181,0.60959999999944559,-0.6,37,0
2022-12-28,HENDERSON,00H,SG,250.63125,250.63162878787878,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.81534090909091,250.81571969696969,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,250.84791666666666,250.84829545454545,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,251.62272727272727,251.62310606060606,1.999999999998181,0.60959999999944559,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,251.66893939393938,251.66931818181817,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,249.53352272727273,249.53390151515151,1.999999999998181,0.60959999999944559,-0.6,42,-1
2022-12-28,HENDERSON,00H,SG,249.54469696969696,249.54507575757575,1.999999999998181,0.60959999999944559,-0.6,41,-0.5
2022-12-28,HENDERSON,00H,SG,249.86553030303031,249.8659090909091,1.999999999998181,0.60959999999944559,-0.6,40,-0.1
2022-12-28,HENDERSON,00H,SG,250.58522727272728,250.58560606060607,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,247.61875,247.61912878787879,1.999999999998181,0.60959999999944559,-0.6,37,0
2022-12-28,HENDERSON,00H,SG,249.87481060606061,249.87518939393939,1.999999999998181,0.60959999999944559,-0.6,40,0
2022-12-28,HENDERSON,00H,SG,250.58106060606062,250.58143939393941,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,250.83352272727274,250.83390151515152,1.999999999998181,0.60959999999944559,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,249.57556818181817,249.57594696969696,1.999999999998181,0.60959999999944559,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.59034090909091,250.5907196969697,1.999999999998181,0.60959999999944559,-0.6,42,0
